Unnamed: 0,pdb_id,ligand_id,GNN,GAT,GCN,GNN_label,GAT_label,GCN_label,cbn_mean_score,cbn_consensus_label,cbn_is_pseudopos_or_strongpos,cbn_is_strongpos,p2r_reg_pocket_name,p2r_reg_pocket_rank,p2r_reg_distance_A,p2r_reg_pocket_probability,p2r_ft1_pocket_name,p2r_ft1_pocket_rank,p2r_ft1_distance_A,p2r_ft1_pocket_probability,p2r_ft2_pocket_name,p2r_ft2_pocket_rank,p2r_ft2_distance_A,p2r_ft2_pocket_probability,p2r_ft3_pocket_name,p2r_ft3_pocket_rank,p2r_ft3_distance_A,p2r_ft3_pocket_probability,p2r_ft4_pocket_name,p2r_ft4_pocket_rank,p2r_ft4_distance_A,p2r_ft4_pocket_probability,p2r_ft5_pocket_name,p2r_ft5_pocket_rank,p2r_ft5_distance_A,p2r_ft5_pocket_probability,found_p2rank_ft_any,found_p2rank_ft_count
24,6NBH,CLR R604,0.938257,0.694288,0.806046,StrongPositive,PseudoNegative,PseudoPositive,0.812864,PseudoPositive,True,False,not found,,,,pocket5,5.0,3.277187,0.321,not found,,,,pocket20,20.0,4.467005,0.019,pocket5,5.0,5.41902,0.276,pocket6,6.0,5.01369,0.161,True,4
25,6NBH,CLR R605,0.90887,0.885771,0.823886,StrongPositive,StrongPositive,PseudoPositive,0.872842,StrongPositive,True,True,not found,,,,not found,,,,not found,,,,pocket5,5.0,5.778178,0.3,not found,,,,pocket5,5.0,3.674713,0.187,True,2
26,6NBH,CLR R606,0.918287,0.675138,0.502427,StrongPositive,StrongNegative,StrongNegative,0.698617,PseudoNegative,False,False,not found,,,,pocket12,12.0,4.441026,0.058,pocket9,9.0,4.49791,0.115,pocket16,16.0,4.82942,0.036,pocket13,13.0,4.666871,0.06,pocket13,13.0,4.661616,0.056,True,5
27,6NBH,CLR R607,0.945866,0.904139,0.95693,StrongPositive,StrongPositive,StrongPositive,0.935645,StrongPositive,True,True,not found,,,,pocket2,2.0,2.247213,0.507,pocket3,3.0,2.536474,0.391,pocket3,3.0,2.282238,0.498,pocket3,3.0,2.304309,0.55,pocket2,2.0,2.388281,0.49,True,5
28,6QEX,CLR A1304,0.941763,0.963504,0.96818,StrongPositive,StrongPositive,StrongPositive,0.957816,StrongPositive,True,True,not found,,,,not found,,,,pocket11,11.0,3.706728,0.173,not found,,,,not found,,,,not found,,,,True,1
29,6QEX,CLR A1305,0.888612,0.504212,0.848793,StrongPositive,StrongNegative,StrongPositive,0.747206,PseudoNegative,False,False,not found,,,,not found,,,,pocket11,11.0,5.443433,0.173,not found,,,,not found,,,,not found,,,,True,1
30,6QEX,CLR A1306,0.914339,0.641471,0.799835,StrongPositive,StrongNegative,PseudoPositive,0.785215,PseudoPositive,True,False,not found,,,,pocket9,9.0,5.862945,0.463,pocket9,9.0,5.933525,0.42,pocket8,8.0,5.702305,0.284,not found,,,,not found,,,,True,3
31,6QEX,CLR A1307,0.929206,0.942905,0.869265,StrongPositive,StrongPositive,StrongPositive,0.913792,StrongPositive,True,True,not found,,,,pocket9,9.0,2.859578,0.463,pocket9,9.0,2.955662,0.42,pocket8,8.0,3.114868,0.284,pocket7,7.0,2.784339,0.439,pocket8,8.0,2.809999,0.425,True,5
32,6QEX,CLR A1308,0.946956,0.897297,0.912235,StrongPositive,StrongPositive,StrongPositive,0.918829,StrongPositive,True,True,not found,,,,not found,,,,pocket15,15.0,2.163387,0.109,pocket9,9.0,4.691322,0.274,pocket9,9.0,4.910048,0.359,pocket27,27.0,2.614027,0.035,True,4
33,6QEX,CLR A1309,0.841605,0.778839,0.817048,StrongPositive,PseudoPositive,PseudoPositive,0.812497,PseudoPositive,True,False,not found,,,,pocket6,6.0,4.850115,0.49,pocket4,4.0,5.787039,0.581,pocket6,6.0,4.473063,0.387,not found,,,,not found,,,,True,3
34,6QEX,CLR A1310,0.873025,0.957366,0.958966,StrongPositive,StrongPositive,StrongPositive,0.929786,StrongPositive,True,True,not found,,,,not found,,,,not found,,,,not found,,,,not found,,,,not found,,,,False,0
35,6QEX,CLR A1311,0.75634,0.918412,0.903586,PseudoNegative,StrongPositive,StrongPositive,0.859446,StrongPositive,True,True,not found,,,,not found,,,,not found,,,,not found,,,,not found,,,,not found,,,,False,0
36,6QEX,CLR A1312,0.929719,0.663517,0.948599,StrongPositive,StrongNegative,StrongPositive,0.847279,StrongPositive,True,True,not found,,,,not found,,,,not found,,,,not found,,,,not found,,,,not found,,,,False,0
37,6QEX,CLR A1313,0.898453,0.725808,0.970336,StrongPositive,PseudoNegative,StrongPositive,0.864866,StrongPositive,True,True,not found,,,,not found,,,,not found,,,,pocket34,34.0,3.22641,0.016,pocket26,26.0,3.832966,0.031,not found,,,,True,2
38,6QEX,CLR A1314,0.768139,0.94873,0.911099,PseudoNegative,StrongPositive,StrongPositive,0.875989,StrongPositive,True,True,not found,,,,not found,,,,pocket26,26.0,4.620743,0.031,not found,,,,not found,,,,pocket24,24.0,5.086546,0.042,True,2
39,6QEX,CLR A1315,0.928416,0.887125,0.973875,StrongPositive,StrongPositive,StrongPositive,0.929806,StrongPositive,True,True,not found,,,,pocket4,4.0,3.076943,0.646,pocket26,26.0,4.012048,0.031,pocket5,5.0,3.949462,0.557,pocket4,4.0,3.782992,0.685,pocket24,24.0,3.665734,0.042,True,5
40,6QEX,CLR A1316,0.695507,0.891064,0.862382,PseudoNegative,StrongPositive,StrongPositive,0.816318,PseudoPositive,True,False,not found,,,,not found,,,,not found,,,,not found,,,,pocket35,35.0,3.287985,0.006,not found,,,,True,1
41,6QEX,CLR A1317,0.80811,0.995833,0.957259,PseudoPositive,StrongPositive,StrongPositive,0.9204,StrongPositive,True,True,not found,,,,not found,,,,not found,,,,not found,,,,not found,,,,not found,,,,False,0
42,6QEX,CLR A1318,0.901642,0.793235,0.827024,StrongPositive,PseudoPositive,PseudoPositive,0.840633,StrongPositive,True,True,not found,,,,pocket7,7.0,5.512414,0.484,pocket23,23.0,2.933234,0.048,not found,,,,not found,,,,pocket17,17.0,2.933234,0.066,True,3
43,6QEX,CLR A1319,0.870582,0.697112,0.970032,StrongPositive,PseudoNegative,StrongPositive,0.845909,StrongPositive,True,True,not found,,,,not found,,,,pocket23,23.0,4.604811,0.048,not found,,,,pocket30,30.0,4.492587,0.024,pocket17,17.0,4.604811,0.066,True,3
44,6V35,CLR A3006,0.910189,0.896118,0.89568,StrongPositive,StrongPositive,StrongPositive,0.900662,StrongPositive,True,True,not found,,,,pocket28,28.0,2.91393,0.074,pocket33,33.0,2.136665,0.07,pocket36,36.0,2.486001,0.057,pocket27,27.0,2.463791,0.066,pocket36,36.0,2.550579,0.052,True,5
45,6V35,CLR B1110,0.910184,0.896088,0.895667,StrongPositive,StrongPositive,StrongPositive,0.900647,StrongPositive,True,True,not found,,,,pocket37,37.0,3.224003,0.042,pocket39,39.0,2.813172,0.052,pocket47,47.0,2.640571,0.034,pocket32,32.0,3.0541,0.05,pocket40,40.0,2.979256,0.044,True,5
46,6V35,CLR C1107,0.910183,0.896141,0.89568,StrongPositive,StrongPositive,StrongPositive,0.900668,StrongPositive,True,True,not found,,,,pocket29,29.0,2.914112,0.074,pocket34,34.0,2.136914,0.069,pocket35,35.0,2.486073,0.057,pocket28,28.0,2.463778,0.066,pocket34,34.0,2.381522,0.066,True,5
47,6V35,CLR D1108,0.910176,0.896136,0.895673,StrongPositive,StrongPositive,StrongPositive,0.900662,StrongPositive,True,True,not found,,,,pocket38,38.0,3.22491,0.04,pocket42,42.0,2.815372,0.05,pocket45,45.0,2.830395,0.039,pocket33,33.0,3.055266,0.049,pocket39,39.0,2.981845,0.044,True,5
48,6V35,CLR E2305,0.851372,0.956908,0.832488,StrongPositive,StrongPositive,PseudoPositive,0.880256,StrongPositive,True,True,not found,,,,not found,,,,not found,,,,not found,,,,not found,,,,not found,,,,False,0
49,6V35,CLR F2306,0.851388,0.956903,0.832486,StrongPositive,StrongPositive,PseudoPositive,0.880259,StrongPositive,True,True,not found,,,,not found,,,,not found,,,,not found,,,,not found,,,,not found,,,,False,0
