folder_name,centroid_distance,within_5A
9DMG_CLRD502_with_C,44.78379240936251,False
9DMG_CLRE501_with_A,7.451613654966507,False
4HQJ_CLRC1108_with_D,18.53577532180218,False
6VUM_CLRA704_with_B,18.19925900354918,False
9B36_CLRC1008_with_D,151.22587210777823,False
9II3_CLRB902_with_R,26.60899843394345,False
7DDF_CLRE101_with_A,21.990519773770394,False
8JD1_CLR31007_with_2,18.44041704861082,False
7DDF_CLRC1104_with_A,22.423700818319773,False
6V35_CLRG2305_with_C,4.1295176111290886,True
7CUM_CLRB907_with_A,74.66656250393443,False
7DDI_CLRC1104_with_A,30.018790234337185,False
7DDI_CLRE101_with_C,31.76359631267437,False
4RET_CLRG1001_with_C,45.617954697796094,False
9DMG_CLRE502_with_D,20.14882330384507,False
9DMG_CLRB502_with_C,28.488496360590048,False
9C3E_CLRY201_with_B,48.54856654983599,False
7D93_CLRA1104_with_B,29.71562728841153,False
8SZI_CLRB1401_with_A,22.288384537747135,False
9DXS_CLRA1007_with_B,50.04543054445543,False
9B37_CLRC1009_with_A,92.16567849236762,False
7QTV_CLRE101_with_C,31.531779702956467,False
9DXS_CLRC1007_with_A,17.04237609439797,False
9B37_CLRA1009_with_B,51.516955079614085,False
6VUM_CLRC702_with_A,16.797856483875243,False
7D93_CLRG101_with_E,11.286008084730268,False
7WYY_CLRD501_with_C,25.26415655823468,False
9B36_CLRA1006_with_B,56.46100828738878,False
7D94_CLRC1105_with_A,23.530764107329997,False
7WYY_CLRG1301_with_A,23.79706369293405,False
7WYS_CLRC1104_with_A,22.303899157913857,False
4HQJ_CLRA1107_with_G,28.467078726409092,False
8JD1_CLR31008_with_2,19.296038063098653,False
8SZG_CLRB1401_with_A,128.24631719137693,False
6VUM_CLRD703_with_C,20.493733583638605,False
4RET_CLRA1104_with_C,29.99249393560191,False
7DDF_CLRD501_with_C,23.006706366357747,False
9C3E_CLRG202_with_B,9.911196287252697,False
7D94_CLRA1105_with_B,30.06645955761938,False
7D94_CLRG101_with_E,13.934811944800376,False
9B36_CLRB1006_with_C,117.72288294895212,False
7Y46_CLRB401_with_D,12.537282521764809,False
