Unnamed: 0,pdb_id,exp_pdb_file,af3_dir,n_predictions,n_hits_within_5A,best_min_atom_distance_A,median_min_atom_distance_A,best_center_distance_A,mean_pocket_jaccard
42,7KYA,/home/alexhernandez/p2rank/ivanfiles/7KYA.pdb,/home/alexhernandez/alphafold3/af3_outputs/7KY...,5,0.0,11.202504,19.319852,27.358716,0.0
43,8DPG,/home/alexhernandez/p2rank/ivanfiles/8DPG.pdb,/home/alexhernandez/alphafold3/af3_outputs/8DP...,5,0.0,11.340901,19.682133,25.058312,0.0
44,5OQT,/home/alexhernandez/p2rank/ivanfiles/5OQT.pdb,/home/alexhernandez/alphafold3/af3_outputs/5OQ...,5,0.0,16.528027,38.794629,22.952895,0.033529
45,9DMG,/home/alexhernandez/p2rank/ivanfiles/9DMG.pdb,/home/alexhernandez/alphafold3/af3_outputs/9DM...,5,0.0,16.762655,19.571317,28.758987,0.0
46,4HQJ,/home/alexhernandez/p2rank/ivanfiles/4HQJ.pdb,/home/alexhernandez/alphafold3/af3_outputs/4HQJ,5,0.0,18.261631,19.623899,24.698564,0.0
47,6V35,/home/alexhernandez/p2rank/ivanfiles/6V35.pdb,/home/alexhernandez/alphafold3/af3_outputs/6V3...,5,0.0,19.162473,24.240695,30.891146,0.0
48,4RET,/home/alexhernandez/p2rank/ivanfiles/4RET.pdb,/home/alexhernandez/alphafold3/af3_outputs/4RET,5,0.0,21.655555,24.095753,28.372236,0.0
49,7KY8,/home/alexhernandez/p2rank/ivanfiles/7KY8.pdb,/home/alexhernandez/alphafold3/af3_outputs/7KY...,5,0.0,31.123786,35.657849,44.0771,0.0
50,9C3E,/home/alexhernandez/p2rank/ivanfiles/9C3E.pdb,/home/alexhernandez/alphafold3/af3_outputs/9C3...,5,0.0,48.130344,50.029984,57.468094,0.0
51,8SZI,/home/alexhernandez/p2rank/ivanfiles/8SZI.pdb,/home/alexhernandez/alphafold3/af3_outputs/8SZ...,5,0.0,49.678624,65.368551,62.407587,0.0
52,7WYY,/home/alexhernandez/p2rank/ivanfiles/7WYY.pdb,/home/alexhernandez/alphafold3/af3_outputs/7WY...,5,0.0,56.40873,74.856015,70.506434,0.0
53,7Y46,/home/alexhernandez/p2rank/ivanfiles/7Y46.pdb,/home/alexhernandez/alphafold3/af3_outputs/7Y4...,5,0.0,57.289705,75.516975,70.986257,0.0
54,8SZG,/home/alexhernandez/p2rank/ivanfiles/8SZG.pdb,/home/alexhernandez/alphafold3/af3_outputs/8SZ...,5,0.0,76.376562,91.44796,92.124348,0.0
