pdb_id,clr_prefix,clr_number,chain,path,available_chains,clr_centroid_x,clr_centroid_y,clr_centroid_z
7A6C,CLR,1311,A,/home/ivanrevilla/CHOLESTEROL_PROJECT/CholesterolChosenIvan/7A6C-CLR1311_chainA-filtered.pdb,A,180.99973,161.70534,156.1675
7A6E,CLR,1311,A,/home/ivanrevilla/CHOLESTEROL_PROJECT/CholesterolChosenIvan/7A6E-CLR1311_chainA-filtered.pdb,A,180.99954,161.53996,156.09535
6W5V,CLR,1420,A,/home/ivanrevilla/CHOLESTEROL_PROJECT/CholesterolChosenIvan/6W5V-CLR1420_chainA-filtered.pdb,A,136.1967,124.20573,145.12605
5WB2,CLR,1201,A,/home/ivanrevilla/CHOLESTEROL_PROJECT/CholesterolChosenIvan/5WB2-CLR1201_chainA-filtered.pdb,A,18.709002,1.8088213,73.62529
5OQT,CLR,101,C,/home/ivanrevilla/CHOLESTEROL_PROJECT/CholesterolChosenIvan/5OQT-CLR101_chainC-filtered.pdb,"A,C",-6.0423927,22.105999,46.832787
7RM5,CLR,1203,A,/home/ivanrevilla/CHOLESTEROL_PROJECT/CholesterolChosenIvan/7RM5-CLR1203_chainA-filtered.pdb,A,15.786787,3.3934288,19.449965
7DDI,CLR,101,G,/home/ivanrevilla/CHOLESTEROL_PROJECT/CholesterolChosenIvan/7DDI-CLR101_chainG-filtered.pdb,"A,G",23.57261,4.4599824,61.01833
7RR9,CLR,804,B,/home/ivanrevilla/CHOLESTEROL_PROJECT/CholesterolChosenIvan/7RR9-CLR804_chainB-filtered.pdb,B,142.35297,180.0668,150.12218
8JD1,CLR,1004,3,/home/ivanrevilla/CHOLESTEROL_PROJECT/CholesterolChosenIvan/8JD1-CLR1004_chain3-filtered.pdb,"2,3",194.44026,192.02525,166.93692
8SRH,CLR,1707,A,/home/ivanrevilla/CHOLESTEROL_PROJECT/CholesterolChosenIvan/8SRH-CLR1707_chainA-filtered.pdb,"A,B",187.8901,179.55144,139.39485
9C3E,CLR,201,Y,/home/ivanrevilla/CHOLESTEROL_PROJECT/CholesterolChosenIvan/9C3E-CLR201_chainY-filtered.pdb,"A,B,G,Y",216.63847,224.76598,233.32906
6V35,CLR,2305,G,/home/ivanrevilla/CHOLESTEROL_PROJECT/CholesterolChosenIvan/6V35-CLR2305_chainG-filtered.pdb,"C,G",166.39693,166.39845,195.7073
7NIW,CLR,1303,A,/home/ivanrevilla/CHOLESTEROL_PROJECT/CholesterolChosenIvan/7NIW-CLR1303_chainA-filtered.pdb,A,139.80074,113.230705,156.70723
9AXF,CLR,1016,R,/home/ivanrevilla/CHOLESTEROL_PROJECT/CholesterolChosenIvan/9AXF-CLR1016_chainR-filtered.pdb,R,219.63188,230.48557,223.29251
6NBH,CLR,607,R,/home/ivanrevilla/CHOLESTEROL_PROJECT/CholesterolChosenIvan/6NBH-CLR607_chainR-filtered.pdb,R,110.670364,114.677025,117.272995
7D93,CLR,101,E,/home/ivanrevilla/CHOLESTEROL_PROJECT/CholesterolChosenIvan/7D93-CLR101_chainE-filtered.pdb,"C,E",22.732708,4.5698576,61.14693
9DMT,CLR,503,D,/home/ivanrevilla/CHOLESTEROL_PROJECT/CholesterolChosenIvan/9DMT-CLR503_chainD-filtered.pdb,D,196.61732,172.04308,206.57703
7Y46,CLR,2105,C,/home/ivanrevilla/CHOLESTEROL_PROJECT/CholesterolChosenIvan/7Y46-CLR2105_chainC-filtered.pdb,"C,E",129.04033,129.22166,139.70773
6AWN,CLR,702,A,/home/ivanrevilla/CHOLESTEROL_PROJECT/CholesterolChosenIvan/6AWN-CLR702_chainA-filtered.pdb,A,33.37025,160.73888,155.40654
8KDH,CLR,602,B,/home/ivanrevilla/CHOLESTEROL_PROJECT/CholesterolChosenIvan/8KDH-CLR602_chainB-filtered.pdb,"A,B",87.555,80.43651,57.34561
7KY5,CLR,1701,A,/home/ivanrevilla/CHOLESTEROL_PROJECT/CholesterolChosenIvan/7KY5-CLR1701_chainA-filtered.pdb,A,127.22053,102.679695,127.99471
6AWQ,CLR,703,A,/home/ivanrevilla/CHOLESTEROL_PROJECT/CholesterolChosenIvan/6AWQ-CLR703_chainA-filtered.pdb,A,33.95914,163.86473,157.56544
7CA3,CLR,1001,A,/home/ivanrevilla/CHOLESTEROL_PROJECT/CholesterolChosenIvan/7CA3-CLR1001_chainA-filtered.pdb,A,110.54168,119.364296,107.89745
7WYS,CLR,101,G,/home/ivanrevilla/CHOLESTEROL_PROJECT/CholesterolChosenIvan/7WYS-CLR101_chainG-filtered.pdb,"A,G",22.294374,5.454394,61.16922
7A65,CLR,1301,A,/home/ivanrevilla/CHOLESTEROL_PROJECT/CholesterolChosenIvan/7A65-CLR1301_chainA-filtered.pdb,A,180.13307,159.92859,156.97432
7CUM,CLR,1006,A,/home/ivanrevilla/CHOLESTEROL_PROJECT/CholesterolChosenIvan/7CUM-CLR1006_chainA-filtered.pdb,A,118.148605,124.432785,137.55486
9B36,CLR,1007,A,/home/ivanrevilla/CHOLESTEROL_PROJECT/CholesterolChosenIvan/9B36-CLR1007_chainA-filtered.pdb,"A,D",172.63257,172.65027,124.708626
7DDF,CLR,101,G,/home/ivanrevilla/CHOLESTEROL_PROJECT/CholesterolChosenIvan/7DDF-CLR101_chainG-filtered.pdb,"A,G",22.472395,5.2191796,61.602062
8DPG,CLR,502,A,/home/ivanrevilla/CHOLESTEROL_PROJECT/CholesterolChosenIvan/8DPG-CLR502_chainA-filtered.pdb,A,104.78277,120.85093,123.133575
7SK3,CLR,602,A,/home/ivanrevilla/CHOLESTEROL_PROJECT/CholesterolChosenIvan/7SK3-CLR602_chainA-filtered.pdb,A,177.05696,169.90181,166.06488
