source,canonical_id,original_id,min_max_label,percentile_label,threshold_label,average_score,number_atoms,score_std
gnn_exp1,box1308,sdf_2-piezo-graph-5A/unlabeled/box1308-filtered_combined_matrix.npy,PseudoPositive,PseudoPositive,Positive,0.7998758316040039,43,0.1167844670815623
gnn_exp2,box1308,sdf_2-piezo-graph-5A/unlabeled/box1308-filtered_combined_matrix.npy,PseudoPositive,PseudoPositive,Positive,0.8125211054086685,43,0.1413645420751738
gnn_exp3,box1308,sdf_2-piezo-graph-5A/unlabeled/box1308-filtered_combined_matrix.npy,PseudoPositive,PseudoPositive,Positive,0.8357611125707627,43,0.1230423537614262
gnn_exp4,box1308,sdf_2-piezo-graph-5A/unlabeled/box1308-filtered_combined_matrix.npy,PseudoPositive,PseudoPositive,Positive,0.7873760014772415,43,0.1350715829343298
gnn_exp1,box1314,sdf_2-piezo-graph-5A/unlabeled/box1314-filtered_combined_matrix.npy,PseudoPositive,StrongPositive,Positive,0.8383090543746948,52,0.1116988140668927
gnn_exp2,box1314,sdf_2-piezo-graph-5A/unlabeled/box1314-filtered_combined_matrix.npy,PseudoPositive,StrongPositive,Positive,0.8956144869327545,52,0.0799085850199083
gnn_exp3,box1314,sdf_2-piezo-graph-5A/unlabeled/box1314-filtered_combined_matrix.npy,PseudoPositive,StrongPositive,Positive,0.8597816431522369,52,0.0925237047298973
gnn_exp4,box1314,sdf_2-piezo-graph-5A/unlabeled/box1314-filtered_combined_matrix.npy,StrongPositive,StrongPositive,Positive,0.9641635191440582,52,0.0287749793913439
gnn_exp5,box1314,sdf_2-piezo-graph-5A/unlabeled/box1314-filtered_combined_matrix.npy,PseudoPositive,StrongPositive,Positive,0.9271398079395294,52,0.0754837632539509
gat_exp1,box1337,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1337-filtered_graphs.npy,PseudoPositive,PseudoPositive,Positive,0.8189933729171753,40,0.1357677724420677
gat_exp2,box1337,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1337-filtered_graphs.npy,PseudoPositive,PseudoPositive,Positive,0.8899351334571839,40,0.0821952502009271
gat_exp3,box1337,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1337-filtered_graphs.npy,PseudoPositive,PseudoPositive,Positive,0.8838129937648773,40,0.0835115261143866
gat_exp4,box1337,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1337-filtered_graphs.npy,PseudoPositive,PseudoPositive,Positive,0.8423703998327255,40,0.1069099368605496
gnn_exp1,box1337,sdf_2-piezo-graph-5A/unlabeled/box1337-filtered_combined_matrix.npy,PseudoPositive,StrongPositive,Positive,0.9018922543525696,40,0.0739263346228982
gnn_exp2,box1337,sdf_2-piezo-graph-5A/unlabeled/box1337-filtered_combined_matrix.npy,PseudoPositive,PseudoPositive,Positive,0.8276869398355484,40,0.1237915544362334
gnn_exp3,box1337,sdf_2-piezo-graph-5A/unlabeled/box1337-filtered_combined_matrix.npy,PseudoPositive,StrongPositive,Positive,0.846099681854248,40,0.1195189164931748
