source,canonical_id,original_id,percentile_label,average_score,score_std,number_atoms
gnn_exp1,box2372,sdf_2-piezo-graph-5A/unlabeled/box2372-filtered_combined_matrix.npy,StrongPositive,0.8502130806446075,0.1319777479630849,46
gnn_exp1,box2376,sdf_2-piezo-graph-5A/unlabeled/box2376-filtered_combined_matrix.npy,StrongPositive,0.9544063436985016,0.0399399632396135,51
gnn_exp4,box2405,sdf_2-piezo-graph-5A/unlabeled/box2405-filtered_combined_matrix.npy,StrongPositive,0.9102706646919252,0.0747454961401546,44
gnn_exp1,box2417,sdf_2-piezo-graph-5A/unlabeled/box2417-filtered_combined_matrix.npy,StrongPositive,0.8593103814125062,0.1201257413852673,45
gnn_exp1,box2464,sdf_2-piezo-graph-5A/unlabeled/box2464-filtered_combined_matrix.npy,StrongPositive,0.8710324919223785,0.0812187596451888,52
gnn_exp4,box262,sdf_2-piezo-graph-5A/unlabeled/box262.-filtered_combined_matrix.npy,StrongPositive,0.8962253832817078,0.0772475333656499,36
gnn_exp2,box2689,sdf_2-piezo-graph-5A/unlabeled/box2689-filtered_combined_matrix.npy,StrongPositive,0.8837210524082184,0.0707161358541773,31
gnn_exp4,box2690,sdf_2-piezo-graph-5A/unlabeled/box2690-filtered_combined_matrix.npy,StrongPositive,0.8761852884292602,0.1019235113949386,50
gnn_exp3,box2703,sdf_2-piezo-graph-5A/unlabeled/box2703-filtered_combined_matrix.npy,StrongPositive,0.8505862438678742,0.1001983791450217,35
gnn_exp3,box2704,sdf_2-piezo-graph-5A/unlabeled/box2704-filtered_combined_matrix.npy,StrongPositive,0.9043799746036528,0.0792070413241096,55
gnn_exp1,box2707,sdf_2-piezo-graph-5A/unlabeled/box2707-filtered_combined_matrix.npy,StrongPositive,0.9732514297962188,0.0237935779614583,36
gnn_exp1,box2708,sdf_2-piezo-graph-5A/unlabeled/box2708-filtered_combined_matrix.npy,StrongPositive,0.8592294037342072,0.0961142190989702,46
gnn_exp1,box2720,sdf_2-piezo-graph-5A/unlabeled/box2720-filtered_combined_matrix.npy,StrongPositive,0.9229061329364776,0.0653160417901726,58
gnn_exp3,box2721,sdf_2-piezo-graph-5A/unlabeled/box2721-filtered_combined_matrix.npy,StrongPositive,0.9215238845348358,0.0729571555675194,50
gnn_exp1,box2762,sdf_2-piezo-graph-5A/unlabeled/box2762-filtered_combined_matrix.npy,StrongPositive,0.9041537988185884,0.0761372842437937,45
gnn_exp1,box2777,sdf_2-piezo-graph-5A/unlabeled/box2777-filtered_combined_matrix.npy,StrongPositive,0.9213402664661408,0.0557727555724047,45
gnn_exp1,box2778,sdf_2-piezo-graph-5A/unlabeled/box2778-filtered_combined_matrix.npy,StrongPositive,0.8795190191268921,0.0794627152498767,47
gnn_exp4,box279,sdf_2-piezo-graph-5A/unlabeled/box279.-filtered_combined_matrix.npy,StrongPositive,0.9048349010944366,0.0841867787044258,45
gnn_exp1,box2838,sdf_2-piezo-graph-5A/unlabeled/box2838-filtered_combined_matrix.npy,StrongPositive,0.8352536058425903,0.0959951761311195,32
gnn_exp4,box3062,sdf_2-piezo-graph-5A/unlabeled/box3062-filtered_combined_matrix.npy,StrongPositive,0.8422929632663727,0.106792670200113,51
gnn_exp1,box3063,sdf_2-piezo-graph-5A/unlabeled/box3063-filtered_combined_matrix.npy,StrongPositive,0.9308367574214936,0.0511606943577728,47
gnn_exp1,box3066,sdf_2-piezo-graph-5A/unlabeled/box3066-filtered_combined_matrix.npy,StrongPositive,0.8838384008407593,0.0980358941528356,58
gnn_exp2,box3067,sdf_2-piezo-graph-5A/unlabeled/box3067-filtered_combined_matrix.npy,StrongPositive,0.8639674949645996,0.0810405302566309,38
gnn_exp1,box3070,sdf_2-piezo-graph-5A/unlabeled/box3070-filtered_combined_matrix.npy,StrongPositive,0.9242409157752992,0.0769766951418006,33
gnn_exp1,box3071,sdf_2-piezo-graph-5A/unlabeled/box3071-filtered_combined_matrix.npy,StrongPositive,0.8354321014881134,0.1127537015490898,39
gnn_exp1,box3084,sdf_2-piezo-graph-5A/unlabeled/box3084-filtered_combined_matrix.npy,StrongPositive,0.952061824798584,0.0381489428224146,52
