filename,atoms,GNN,gnn_std,GAT,gat_std,GCN,gcn_std,3DCNN,high_occupancy
1_16-piezo-graph-5A/unlabeled/boxCHL1_3575-filtered_combined_matrix.npy,5,0.4419,.0656,.8559,.1220,.8751,.0577,.9995,70.5149455
1_16-piezo-graph-5A/unlabeled/boxCHL1_3576-filtered_combined_matrix.npy,11,0.7157,.0290,.9692,.0146,.9048,.0355,.9994,71.6144215
1_16-piezo-graph-5A/unlabeled/boxCHL1_3589-filtered_combined_matrix.npy,12,0.6619,.0643,.9290,.0220,.7705,.0747,.9995,70.2245295
1_16-piezo-graph-5A/unlabeled/boxCHL1_3616-filtered_combined_matrix.npy,4,0.4778,.1009,.6741,.1067,.6494,.1648,.9995,26.6514315
1_16-piezo-graph-5A/unlabeled/boxCHL1_3618-filtered_combined_matrix.npy,68,0.1223,.0862,.5872,.0709,.3114,.0993,.1321,46.7293335
1_16-piezo-graph-5A/unlabeled/boxCHL1_3640-filtered_combined_matrix.npy,5,0.4848,.1227,.7049,.1087,.7278,.1101,.9995,37.3027545
1_16-piezo-graph-5A/unlabeled/boxCHL1_3642-filtered_combined_matrix.npy,17,0.7129,.0690,.9440,.0161,.4114,.0814,.9993,49.7116175
anton-piezo-graph-5A/unlabeled/box1_mode9-filtered_combined_matrix.npy,96,0.0092,.0083,.3929,.1000,.2541,.0823,.0004,23.3658
anton-piezo-graph-5A/unlabeled/box11_mode2-filtered_combined_matrix.npy,95,0.0021,.0014,.1228,.0465,.0657,.0416,.0000,17.054846
anton-piezo-graph-5A/unlabeled/box11_mode3-filtered_combined_matrix.npy,89,0.0069,.0038,.0601,.0207,.0096,.0052,.0010,17.054846
anton-piezo-graph-5A/unlabeled/box11_mode7-filtered_combined_matrix.npy,78,0.0517,.0314,.2620,.0596,.4279,.2126,.0091,17.054846
anton-piezo-graph-5A/unlabeled/box11_mode9-filtered_combined_matrix.npy,91,0.0387,.0322,.1658,.0400,.2613,.1710,.0002,17.054846
anton-piezo-graph-5A/unlabeled/box13_mode1-filtered_combined_matrix.npy,112,0.0004,.0003,.0452,.0063,.0231,.0148,.0000,19.4214875
anton-piezo-graph-5A/unlabeled/box13_mode2-filtered_combined_matrix.npy,91,0.0172,.0098,.1391,.0199,.0409,.0223,.0002,19.909842
anton-piezo-graph-5A/unlabeled/box13_mode4-filtered_combined_matrix.npy,101,0.0002,.0002,.0417,.0078,.0115,.0050,.0000,19.909842
anton-piezo-graph-5A/unlabeled/box13_mode5-filtered_combined_matrix.npy,99,0.003,.0021,.2579,.0575,.1947,.0613,.0006,13.448535
anton-piezo-graph-5A/unlabeled/box13_mode6-filtered_combined_matrix.npy,91,0.1015,.0810,.1725,.0528,.1332,.0585,.0122,13.448535
anton-piezo-graph-5A/unlabeled/box13_mode8-filtered_combined_matrix.npy,108,0.0004,.0004,.0925,.0310,.0335,.0369,.0000,16.378663
anton-piezo-graph-5A/unlabeled/box13_mode9-filtered_combined_matrix.npy,94,0.0274,.0222,.1547,.0381,.1563,.0715,.0028,26.1457
anton-piezo-graph-5A/unlabeled/box4_mode8-filtered_combined_matrix.npy,106,0.0018,.0018,.0205,.0079,.0023,.0009,.0018,19.5341845
anton-piezo-graph-5A/unlabeled/box6_mode1-filtered_combined_matrix.npy,95,0.002,.0014,.1392,.0322,.0392,.0171,.0015,16.75432
anton-piezo-graph-5A/unlabeled/box6_mode3-filtered_combined_matrix.npy,90,0.0015,.0011,.0127,.0030,.0013,.0008,.0000,13.974455
anton-piezo-graph-5A/unlabeled/box6_mode5-filtered_combined_matrix.npy,106,0.0001,.0001,.0138,.0025,.0017,.0012,.0000,13.974455
anton-piezo-graph-5A/unlabeled/box6_mode6-filtered_combined_matrix.npy,93,0.0025,.0016,.0418,.0069,.0066,.0034,.0000,16.75432
anton-piezo-graph-5A/unlabeled/box6_mode7-filtered_combined_matrix.npy,87,0.0068,.0037,.2113,.0536,.1867,.0729,.0050,16.378663
anton-piezo-graph-5A/unlabeled/box6_mode8-filtered_combined_matrix.npy,92,0.2436,.1553,.1969,.0653,.3005,.1472,.0185,16.078137
anton-piezo-graph-5A/unlabeled/box7_mode1-filtered_combined_matrix.npy,94,0.0017,.0013,.0883,.0092,.0088,.0028,.0001,16.75432
anton-piezo-graph-5A/unlabeled/box7_mode3-filtered_combined_matrix.npy,108,0.0004,.0003,.0818,.0330,.0087,.0073,.0000,13.298272
anton-piezo-graph-5A/unlabeled/box7_mode4-filtered_combined_matrix.npy,85,0.0131,.0097,.3198,.0507,.1583,.0680,.0012,16.378663
anton-piezo-graph-5A/unlabeled/box7_mode5-filtered_combined_matrix.npy,85,0.0123535754370968,.0045,.1583,.0680,.1237,.0265,.0000,17.234
anton-piezo-graph-5A/unlabeled/box8_mode8-filtered_combined_matrix.npy,61,0.059,.0213,.5148,.0765,.2265,.0567,.0285,16.303531
separate-piezo-graph-5A/unlabeled/CHL1_2828-filtered_combined_matrix.npy,3,0.4159,.0552,.6866,.1215,.8317,.0720,.9995,35.4733285
separate-piezo-graph-5A/unlabeled/CHL1_2830-filtered_combined_matrix.npy,9,0.6007,.0705,.9086,.0728,.8565,.0940,.9995,66.350948
separate-piezo-graph-5A/unlabeled/CHL1_2852-filtered_combined_matrix.npy,4,0.4255,.1090,.8772,.0371,.5447,.1017,.9995,49.288843
separate-piezo-graph-5A/unlabeled/CHL1_2853-filtered_combined_matrix.npy,7,0.5861,.0634,.2599,.1153,.6458,.1618,.9995,82.5277675
separate-piezo-graph-5A/unlabeled/CHL1_2857-filtered_combined_matrix.npy,8,0.6056,.1309,.9320,.0747,.5761,.1766,.9995,21.4602175
separate-piezo-graph-5A/unlabeled/CHL1_2880-filtered_combined_matrix.npy,17,0.7578,.0803,.7784,.1112,.7419,.1836,.9992,54.879448
separate-piezo-graph-5A/unlabeled/CHL1_2883-filtered_combined_matrix.npy,26,0.9393,.0329,.9568,.0233,.9050,.0513,.9992,22.6152755
separate-piezo-graph-5A/unlabeled/CHL1_2889-filtered_combined_matrix.npy,15,0.7934,.0334,.9763,.0095,.6596,.0394,.9994,59.703094
separate-piezo-graph-5A/unlabeled/CHL1_2892-filtered_combined_matrix.npy,32,0.8521,.0533,.8850,.0464,.5671,.0948,.9989,39.362171
separate-piezo-graph-5A/unlabeled/CHL1_2903-filtered_combined_matrix.npy,18,0.6321,.0628,.9296,.0216,.9067,.0437,.9989,74.022564
separate-piezo-graph-5A/unlabeled/CHL1_2913-filtered_combined_matrix.npy,4,0.3328,.0754,.9408,.0753,.6348,.1983,.9995,40.665724
separate-piezo-graph-5A/unlabeled/CHL1_2915-filtered_combined_matrix.npy,7,0.4892,.0746,.6722,.0821,.8582,.0343,.9995,51.812326
separate-piezo-graph-5A/unlabeled/CHL1_2923-filtered_combined_matrix.npy,1,0.3547,.0541,.6098,.1559,.8129,.1052,.9995,47.5757205
separate-piezo-graph-5A/unlabeled/CHL1_2937-filtered_combined_matrix.npy,38,0.8063,.0482,.1924,.0406,.7593,.0397,.9990,70.959289
separate-piezo-graph-5A/unlabeled/CHL1_2938-filtered_combined_matrix.npy,11,0.6451,.0397,.9681,.0230,.8071,.1068,.9994,25.991625
separate-piezo-graph-5A/unlabeled/CHL1_2955-filtered_combined_matrix.npy,6,0.5142,.0594,.5272,.1492,.5702,.2234,.9995,38.2763215
separate-piezo-graph-5A/unlabeled/CHL1_2959-filtered_combined_matrix.npy,10,0.6733,.0470,.4576,.1591,.6427,.1893,.9994,46.9594585
separate-piezo-graph-5A/unlabeled/CHL1_2965-filtered_combined_matrix.npy,1,0.3633,.0370,.2152,.1283,.6476,.0878,.9995,38.2763215
separate-piezo-graph-5A/unlabeled/CHL1_2967-filtered_combined_matrix.npy,3,0.4012,.0515,.7523,.1330,.8429,.0738,.9995,24.367091
separate-piezo-graph-5A/unlabeled/CHL1_2973-filtered_combined_matrix.npy,28,0.9335,.0161,.8831,.0315,.9017,.0232,.9990,36.491507
separate-piezo-graph-5A/unlabeled/CHL1_2975-filtered_combined_matrix.npy,72,0.3335,.1917,.3753,.0837,.6582,.0675,.1200,74.530428
separate-piezo-graph-5A/unlabeled/CHL1_2979-filtered_combined_matrix.npy,27,0.9365,.0537,.8075,.0872,.8119,.1155,.9993,37.173694
separate-piezo-graph-5A/unlabeled/CHL1_2994-filtered_combined_matrix.npy,23,0.8062,.0631,.9398,.0260,.3584,.1280,.9926,19.8813
separate-piezo-graph-5A/unlabeled/CHL1_3044-filtered_combined_matrix.npy,5,0.4133,.0704,.8251,.1315,.8510,.0751,.9995,31.4062125
separate-piezo-graph-5A/unlabeled/CHL1_3052-filtered_combined_matrix.npy,1,0.3242,.0712,.0080,.0178,.2565,.1219,.9995,21.72331
separate-piezo-graph-5A/unlabeled/CHL1_3053-filtered_combined_matrix.npy,8,0.5004,.1075,.6098,.0534,.4194,.0828,.9995,35.909128
separate-piezo-graph-5A/unlabeled/CHL1_3056-filtered_combined_matrix.npy,10,0.5359,.0655,.7336,.1336,.8308,.0442,.9994,49.07835
separate-piezo-graph-5A/unlabeled/CHL1_3065-filtered_combined_matrix.npy,28,0.885,.0280,.9066,.0177,.8971,.0233,.9944,74.53
separate-piezo-graph-5A/unlabeled/CHL1_3070-filtered_combined_matrix.npy,3,0.4019,.0520,.7476,.1288,.8413,.0744,.9995,49.448741
separate-piezo-graph-5A/unlabeled/CHL1_3083-filtered_combined_matrix.npy,12,0.7284,.0232,.9374,.0212,.9254,.0284,.9994,40.653386
separate-piezo-graph-5A/unlabeled/CHL1_3108-filtered_combined_matrix.npy,5,0.3564,.0732,.9353,.0247,.7729,.0849,.9995,26.274768
separate-piezo-graph-5A/unlabeled/CHL1_3123-filtered_combined_matrix.npy,35,0.9357,.0200,.7504,.0813,.7191,.0853,.9636,58.6273405
separate-piezo-graph-5A/unlabeled/CHL1_3130-filtered_combined_matrix.npy,4,0.4557,.0927,.5593,.0743,.8611,.0730,.9995,41.963068
separate-piezo-graph-5A/unlabeled/CHL1_3143-filtered_combined_matrix.npy,1,0.3547,.0541,.6098,.1559,.8129,.1052,.9995,40.455429
separate-piezo-graph-5A/unlabeled/CHL1_3150-filtered_combined_matrix.npy,11,0.7858,.0240,.7692,.0765,.9591,.0128,.9995,56.4957055
separate-piezo-graph-5A/unlabeled/CHL1_3160-filtered_combined_matrix.npy,26,0.7773,.0785,.4869,.1073,.2959,.1194,.9964,81.662317
separate-piezo-graph-5A/unlabeled/CHL1_3163-filtered_combined_matrix.npy,30,0.9098,.0387,.6272,.1064,.7870,.0927,.9994,82.253134
separate-piezo-graph-5A/unlabeled/CHL1_3182-filtered_combined_matrix.npy,3,0.3862,.0694,.8552,.0728,.4910,.1754,.9995,12.8751785
separate-piezo-graph-5A/unlabeled/CHL1_3187-filtered_combined_matrix.npy,10,0.7067,.0252,.6307,.1033,.8697,.1044,.9994,57.3799005
separate-piezo-graph-5A/unlabeled/CHL1_3193-filtered_combined_matrix.npy,15,0.795,.0350,.9927,.0100,.6947,.1247,.9995,71.7613175
separate-piezo-graph-5A/unlabeled/CHL1_3198-filtered_combined_matrix.npy,10,0.4087,.0706,.7730,.0982,.1102,.0416,.9994,29.407861
separate-piezo-graph-5A/unlabeled/CHL1_3207-filtered_combined_matrix.npy,32,0.5565,.0496,.7218,.0437,.5599,.1175,.9932,26.9660875
separate-piezo-graph-5A/unlabeled/CHL1_3224-filtered_combined_matrix.npy,9,0.6711,.0500,.5722,.1416,.8734,.0557,.9995,51.849892
separate-piezo-graph-5A/unlabeled/CHL1_3227-filtered_combined_matrix.npy,1,0.2926,.0207,.9419,.0298,.7592,.0435,.9995,18.2552555
separate-piezo-graph-5A/unlabeled/CHL1_3240-filtered_combined_matrix.npy,57,0.8096,.1067,.5415,.1007,.5835,.1374,.7265,58.954759
separate-piezo-graph-5A/unlabeled/CHL1_3243-filtered_combined_matrix.npy,14,0.6445,.1027,.7508,.0757,.2699,.1385,.9993,14.720467
separate-piezo-graph-5A/unlabeled/CHL1_3265-filtered_combined_matrix.npy,1,0.3656,.0353,.1004,.0947,.4967,.0706,.9995,19.1586745
separate-piezo-graph-5A/unlabeled/CHL1_3316-filtered_combined_matrix.npy,22,0.4705,.0564,.4183,.0575,.3194,.0803,.9986,40.409798
separate-piezo-graph-5A/unlabeled/CHL1_3325-filtered_combined_matrix.npy,18,0.5324,.1511,.6295,.1095,.3474,.1741,.9992,56.7486485
separate-piezo-graph-5A/unlabeled/CHL1_3329-filtered_combined_matrix.npy,8,0.5359,.0643,.8786,.0666,.8392,.0686,.9995,14.2930645
separate-piezo-graph-5A/unlabeled/CHL1_3330-filtered_combined_matrix.npy,24,0.9204,.0400,.9067,.0339,.8054,.0395,.9993,23.9840675
separate-piezo-graph-5A/unlabeled/CHL1_3341-filtered_combined_matrix.npy,10,0.667,.0655,.9836,.0165,.8359,.0732,.9995,76.0760745
separate-piezo-graph-5A/unlabeled/CHL1_3349-filtered_combined_matrix.npy,7,0.3716,.1063,.8370,.1138,.5312,.0903,.9995,51.812326
separate-piezo-graph-5A/unlabeled/CHL1_3371-filtered_combined_matrix.npy,57,0.9429,.0172,.8399,.0390,.8007,.0195,.6085,40.007881
separate-piezo-graph-5A/unlabeled/CHL1_3372-filtered_combined_matrix.npy,30,0.935,.0105,.9755,.0057,.9280,.0348,.9974,51.897696
separate-piezo-graph-5A/unlabeled/CHL1_3378-filtered_combined_matrix.npy,43,0.5035,.1129,.6766,.0585,.4950,.1401,.9971,42.4855265
separate-piezo-graph-5A/unlabeled/CHL1_3379-filtered_combined_matrix.npy,43,0.474,.0988,.2136,.0189,.0411,.0258,.7957,63.561232
separate-piezo-graph-5A/unlabeled/CHL1_3409-filtered_combined_matrix.npy,6,0.4222,.1607,.5016,.1503,.3442,.1713,.9995,21.72331
separate-piezo-graph-5A/unlabeled/CHL1_3442-filtered_combined_matrix.npy,34,0.8797,.0133,.9407,.0251,.8834,.0739,.9903,78.3650435
separate-piezo-graph-5A/unlabeled/CHL1_3450-filtered_combined_matrix.npy,59,0.2417,.0609,.5182,.0618,.1592,.0443,.0767,69.684448
separate-piezo-graph-5A/unlabeled/CHL1_3467-filtered_combined_matrix.npy,26,0.9365,.0531,.9880,.0097,.9184,.0412,.9991,44.802743
separate-piezo-graph-5A/unlabeled/CHL1_3471-filtered_combined_matrix.npy,22,0.9335,.0125,.9356,.0564,.7615,.1068,.9993,39.093082
separate-piezo-graph-5A/unlabeled/CHL1_3476-filtered_combined_matrix.npy,8,0.6435,.0530,.9361,.0378,.9466,.0258,.9995,59.815412
