atom_type,importance_sum
C,3.5118966102600098
CA,3.5118966102600098
CB,4.100359916687012
CD,5.424383640289307
CD1,6.748408317565918
CD2,8.072436332702637
CE,8.959268569946289
CE1,8.971826553344727
CE2,8.984318733215332
CE3,8.996810913085938
CG,8.89070987701416
CG1,8.369470596313477
CG2,7.848232746124268
CH2,7.326992034912109
CZ,7.03082275390625
CZ2,8.535201072692871
CZ3,10.039584159851074
O,11.543966293334961
OH,13.048346519470215
OD1,12.055821418762207
OD2,11.063294410705566
OE1,10.070767402648926
OE2,9.078242301940918
OG,9.373821258544922
OG1,9.830414772033691
N,10.287007331848145
NE,10.743598937988281
NE1,10.512459754943848
NE2,10.084905624389648
ND1,9.657285690307617
ND2,9.229732513427734
NZ,9.037482261657715
NH1,8.962883949279785
NH2,8.888215065002441
SD,8.813617706298828
SG,8.780470848083496
UNKNOWN,8.780470848083496
